"Municipal and City Level Small Area Poverty Estimates; 2006, 2009 and 2012",,,,,,,,,,,,,,,,,,,,,,,,,,
Region/Province,,,Municipality/City,,,,,,,Poverty Incidence,,,,,,Coefficient of Variation*,,,,90% Confidence Interval,,,,,,
,,,,,,,,,,,,,,,,,,,,2006,,2009,,2012,,
,,,Mogpog,,,,,,,31.8,,26.8,,10.5,,15.7,11.1,15.3,,26.1,37.5,21.9,31.7,7.9,13.2,
,,,Santa Cruz,,,,,,,40.9,,30.6,,12.7,,16.3,8.5,12.9,,33.9,47.8,26.3,34.8,10.0,15.3,
,,,Torrijos,,,,,,,50.0,,35.2,,17.3,,22.3,12.0,12.7,,43.6,56.5,28.2,42.1,13.7,20.9,
Occidental Mindoro,,,Abra de Ilog,,,,,,,54.8,,37.5,,32.3,,11.7,16.4,13.8,,43.8,65.8,27.4,47.5,25.0,39.6,
,,,Calintaan,,,,,,,41.5,,34.2,,31.1,,17.6,18.7,12.9,,30.8,52.2,23.6,44.7,24.5,37.6,
,,,Looc,,,,,,,30.4,,32.4,,22.3,,8.7,17.0,16.4,,22.2,38.6,23.3,41.5,16.2,28.3,
,,,Lubang,,,,,,,18.3,,23.8,,14.8,,11.5,15.7,17.6,,11.6,25.0,17.6,29.9,10.5,19.0,
,,,Magsaysay,,,,,,,51.4,,38.3,,34.3,,8.9,15.8,12.8,,41.6,61.3,28.3,48.2,27.1,41.5,
,,,Mamburao,,,,,,,30.8,,28.9,,17.5,,12.1,18.2,20.1,,21.9,39.7,20.3,37.6,11.7,23.3,
,,,Paluan,,,,,,,58.7,,38.0,,29.6,,12.2,15.6,14.6,,50.3,67.1,28.2,47.8,22.5,36.7,
,,,Rizal,,,,,,,48.1,,36.0,,31.2,,7.2,15.0,12.0,,39.0,57.2,27.2,44.9,25.0,37.3,
,,,Sablayan,,,,,,,46.3,,34.8,,28.0,,11.6,12.9,10.6,,39.5,53.0,27.5,42.2,23.1,32.9,
,,,San Jose,,,,,,,30.1,,29.8,,21.2,,8.9,10.2,11.4,,24.2,36.1,24.8,34.8,17.2,25.2,
,,,Santa Cruz,,,,,,,50.8,,38.1,,35.2,,7.9,16.0,12.6,,40.6,61.0,28.1,48.1,27.9,42.5,
Oriental Mindoro,,,Baco,,,,,,,57.2,,44.5,,22.8,,14.3,8.8,11.0,,50.4,64.0,38.0,50.9,18.6,26.9,
,,,Bansud,,,,,,,45.2,,39.0,,19.9,,14.2,14.4,15.6,,36.6,53.8,29.8,48.2,14.8,25.0,
,,,Bongabong,,,,,,,45.2,,35.8,,25.1,,8.6,9.4,10.0,,38.6,51.8,30.2,41.4,21.0,29.3,
,,,Bulalacao,,,,,,,71.3,,51.5,,40.0,,6.0,12.3,8.9,,62.0,80.5,41.1,61.9,34.1,45.8,
,,,Calapan City,,,,,,,21.6,,23.0,,7.1,,9.3,10.4,20.7,,16.5,26.7,19.0,26.9,4.7,9.5,
,,,Gloria,,,,,,,31.3,,35.5,,18.3,,10.3,10.5,11.5,,24.0,38.7,29.4,41.7,14.8,21.8,
,,,Mansalay,,,,,,,54.5,,41.8,,35.5,,17.0,13.2,9.7,,46.8,62.1,32.7,50.9,29.9,41.2,
,,,Naujan,,,,,,,43.2,,38.4,,20.5,,16.5,8.3,9.3,,38.9,47.5,33.2,43.7,17.4,23.6,
,,,Pinamalayan,,,,,,,33.0,,31.7,,17.0,,15.2,9.7,11.2,,28.0,38.0,26.6,36.7,13.9,20.2,
,,,Pola,,,,,,,41.9,,37.9,,29.2,,11.4,11.7,10.4,,34.8,49.0,30.6,45.3,24.2,34.1,
,,,Puerto Galera,,,,,,,35.4,,23.9,,11.0,,10.5,17.4,19.4,,25.5,45.2,17.1,30.7,7.5,14.5,
,,,Roxas,,,,,,,24.3,,29.7,,21.1,,12.0,12.9,12.6,,17.7,30.8,23.4,36.0,16.7,25.5,
,,,San Teodoro,,,,,,,40.8,,33.6,,14.8,,19.0,15.8,21.2,,30.6,51.1,24.8,42.3,9.7,20.0,
,,,Socorro,,,,,,,36.6,,36.8,,15.4,,14.1,11.5,11.7,,29.7,43.4,29.8,43.8,12.4,18.3,
,,,Victoria,,,,,,,34.4,,35.2,,18.0,,14.3,9.6,10.1,,28.4,40.4,29.6,40.7,15.0,21.0,
Palawan,,,Aborlan,,,,,,,37.3,,23.4,,22.4,,13.0,17.7,12.4,,30.0,44.7,16.6,30.2,17.8,26.9,
,,,Agutaya,,,,,,,42.8,,36.1,,33.4,,12.8,23.9,18.9,,29.4,56.2,21.9,50.3,23.0,43.7,
,,,Araceli,,,,,,,43.9,,35.1,,27.7,,14.5,16.5,13.0,,33.7,54.1,25.5,44.6,21.8,33.6,
,,,Balabac,,,,,,,52.4,,44.2,,38.1,,9.8,18.0,13.3,,40.1,64.8,31.1,57.3,29.7,46.4,
,,,Bataraza,,,,,,,44.2,,27.5,,30.6,,14.7,16.2,10.2,,34.7,53.7,20.2,34.8,25.5,35.7,
,,,Brooke's Point,,,,,,,36.1,,26.7,,27.0,,13.5,13.7,10.7,,28.5,43.7,20.6,32.7,22.2,31.7,
,,,Busuanga,,,,,,,40.2,,26.5,,34.9,,9.8,18.0,9.9,,30.6,49.7,18.6,34.3,29.2,40.6,
,,,Cagayancillo,,,,,,,74.5,,36.6,,22.5,,11.7,21.1,20.6,,62.6,86.5,23.9,49.4,14.9,30.2,
,,,Coron,,,,,,,33.2,,28.4,,23.5,,11.9,16.1,11.1,,25.2,41.2,20.9,35.9,19.2,27.7,
,,,Cuyo,,,,,,,28.8,,20.4,,13.8,,16.1,17.2,18.2,,22.4,35.1,14.6,26.1,9.7,18.0,
,,,Dumaran,,,,,,,62.2,,41.6,,30.8,,15.1,13.8,10.4,,52.2,72.3,32.1,51.0,25.5,36.1,
,,,El Nido,,,,,,,47.3,,29.7,,27.1,,21.2,16.9,12.6,,38.2,56.4,21.4,37.9,21.5,32.7,
,,,Linapacan,,,,,,,63.4,,18.1,,39.6,,20.3,29.5,12.3,,51.1,75.8,9.3,26.9,31.5,47.6,
,,,Magsaysay,,,,,,,34.8,,17.6,,15.9,,11.7,20.6,18.6,,25.5,44.0,11.7,23.6,11.0,20.8,
,,,Narra,,,,,,,27.5,,21.4,,20.6,,16.1,17.5,12.7,,20.7,34.3,15.2,27.6,16.3,24.9,
,,,Puerto Princesa City,,,,,,,9.2,,15.5,,7.8,,8.0,14.2,18.5,,6.0,12.4,11.9,19.1,5.4,10.2,
,,,Quezon,,,,,,,25.4,,34.0,,36.0,,217.0,16.5,11.4,,16.9,33.8,24.8,43.3,29.3,42.7,
,,,Roxas,,,,,,,29.4,,24.9,,21.0,,14.8,13.6,11.8,,23.7,35.1,19.3,30.5,16.9,25.1,
,,,San Vicente,,,,,,,38.4,,25.6,,30.1,,13.9,18.2,14.9,,28.2,48.5,18.0,33.2,22.8,37.5,
,,,Taytay,,,,,,,54.5,,35.1,,33.4,,13.8,11.6,9.1,,47.3,61.7,28.4,41.8,28.4,38.3,
,,,Culion,,,,,,,40.8,,28.5,,23.6,,11.2,16.3,15.2,,30.9,50.7,20.8,36.1,17.7,29.5,
,,,Rizal,,,,,,,43.7,,32.7,,36.7,,11.8,18.2,13.0,,33.7,53.7,22.9,42.5,28.9,44.6,
,,,Sofronio Espanola,,,,,,,42.0,,30.1,,32.9,,13.4,19.8,11.9,,32.4,51.5,20.3,40.0,26.5,39.4,
Romblon,,,Alcantara,,,,,,,32.8,,37.3,,35.4,,14.6,17.4,11.7,,24.2,41.3,26.6,48.0,28.6,42.2,
,,,Banton,,,,,,,42.4,,38.0,,30.7,,10.2,15.6,13.1,,34.6,50.3,28.2,47.7,24.1,37.2,
,,,Cajidiocan,,,,,,,47.4,,50.4,,38.1,,13.6,12.8,11.5,,38.2,56.6,39.8,61.0,30.9,45.4,
,,,Calatrava,,,,,,,47.3,,47.4,,35.5,,11.6,17.2,14.0,,36.9,57.7,34.0,60.8,27.3,43.6,
,,,Concepcion,,,,,,,40.3,,41.9,,27.9,,12.2,11.6,15.8,,30.6,49.9,33.9,49.9,20.7,35.2,
,,,Corcuera,,,,,,,60.4,,46.6,,47.4,,14.8,13.0,10.1,,50.2,70.6,36.6,56.6,39.5,55.3,
,,,Looc,,,,,,,33.3,,48.8,,27.6,,12.2,12.9,13.0,,25.9,40.8,38.4,59.1,21.7,33.5,
,,,Magdiwang,,,,,,,48.8,,45.9,,37.5,,12.2,14.5,12.8,,39.4,58.1,35.0,56.9,29.7,45.4,
,,,Odiongan,,,,,,,27.6,,35.9,,15.4,,11.2,12.6,19.0,,22.1,33.2,28.5,43.3,10.6,20.1,
,,,Romblon,,,,,,,51.4,,39.2,,26.9,,10.4,13.8,12.4,,38.9,64.0,30.3,48.1,21.4,32.4,
,,,San Agustin,,,,,,,42.5,,43.5,,33.4,,9.3,14.0,12.0,,34.0,51.0,33.4,53.6,26.8,40.0,
,,,San Andres,,,,,,,45.1,,45.5,,30.9,,16.5,14.7,12.5,,36.0,54.1,34.6,56.5,24.6,37.2,
,,,San Fernando,,,,,,,53.1,,47.4,,35.4,,14.2,14.5,13.0,,43.3,62.9,36.1,58.7,27.8,43.0,
,,,San Jose,,,,,,,65.8,,50.5,,41.0,,16.6,16.6,14.5,,54.5,77.0,36.7,64.3,31.2,50.8,
,,,Santa Fe,,,,,,,53.5,,50.1,,37.0,,12.7,12.7,11.1,,45.3,61.7,39.6,60.7,30.2,43.7,
,,,Ferrol,,,,,,,42.9,,45.7,,30.7,,16.6,16.6,16.1,,31.3,54.5,33.3,58.2,22.5,38.8,
,,,Santa Maria,,,,,,,48.8,,45.7,,26.7,,17.5,17.5,20.3,,37.4,60.2,32.5,58.8,17.8,35.7,
Region V,,,,,,,,,,,,,,,,,,,,,,,,,,
Albay,,,Bacacay,,,,,,,40.3,,40.1,,29.7,,7.4,6.0,7.2,,35.4,45.2,36.2,44.0,26.2,33.2,
,,,Camalig,,,,,,,42.1,,38.7,,29.3,,6.2,5.8,7.4,,37.8,46.4,35.0,42.3,25.7,32.9,
,,,Daraga (Locsin),,,,,,,29.4,,29.7,,17.9,,9.1,6.7,9.5,,25.0,33.8,26.4,33.0,15.1,20.7,
,,,Guinobatan,,,,,,,39.1,,37.2,,26.9,,6.4,5.9,7.2,,35.0,43.2,33.6,40.8,23.7,30.0,
,,,Jovellar,,,,,,,58.3,,52.7,,46.3,,6.6,7.1,7.0,,52.0,64.6,46.6,58.8,40.9,51.6,
,,,Legazpi City,,,,,,,26.2,,30.7,,17.3,,12.3,6.7,9.1,,20.9,31.5,27.3,34.1,14.7,19.9,
,,,Libon,,,,,,,55.8,,48.3,,37.5,,5.6,5.6,5.7,,50.7,60.9,43.8,52.7,33.9,41.0,
,,,Ligao City,,,,,,,45.9,,40.5,,29.1,,6.5,5.3,6.2,,41.0,50.8,37.0,44.1,26.2,32.0,
,,,Malilipot,,,,,,,34.9,,37.3,,22.3,,11.7,9.0,12.3,,28.2,41.6,31.7,42.8,17.8,26.7,
,,,Malinao,,,,,,,47.3,,40.2,,32.9,,6.8,7.0,7.3,,42.0,52.5,35.6,44.9,29.0,36.8,
,,,Manito,,,,,,,49.0,,45.4,,39.0,,8.3,9.1,8.7,,42.4,55.7,38.6,52.2,33.4,44.5,
,,,Oas,,,,,,,48.4,,42.9,,36.3,,5.7,5.1,5.7,,43.9,53.0,39.4,46.5,32.9,39.7,
,,,Pio Duran,,,,,,,57.7,,51.3,,45.1,,6.2,5.8,5.9,,51.8,63.6,46.4,56.1,40.7,49.5,
,,,Polangui,,,,,,,39.2,,37.8,,26.7,,7.0,6.2,7.0,,34.7,43.7,34.0,41.7,23.6,29.8,
,,,Rapu-Rapu,,,,,,,53.5,,58.6,,50.3,,6.9,5.5,5.4,,47.4,59.6,53.3,64.0,45.8,54.8,
,,,Santo Domingo,,,,,,,32.1,,34.2,,25.5,,10.3,8.3,10.3,,26.7,37.5,29.5,38.8,21.1,29.8,
,,,Tabacco City,,,,,,,33.3,,35.1,,23.8,,10.2,6.5,7.4,,27.7,38.9,31.4,38.9,20.9,26.7,
,,,Tiwi,,,,,,,38.1,,37.9,,27.4,,9.3,7.6,8.6,,32.3,44.0,33.1,42.6,23.5,31.3,
Camarines Norte,,,Basud,,,,,,,36.9,,38.3,,25.1,,10.0,7.4,12.3,,30.8,42.9,33.6,42.9,20.0,30.2,
,,,Capalonga,,,,,,,48.4,,48.2,,40.9,,8.9,6.8,11.6,,41.4,55.5,42.8,53.6,33.1,48.7,
,,,Daet,,,,,,,16.6,,21.0,,11.4,,17.0,9.9,17.0,,12.0,21.3,17.5,24.4,8.2,14.6,
,,,San Lorenzo Ruiz,,,,,,,43.4,,45.4,,23.7,,13.7,11.3,18.9,,33.6,53.2,37.0,53.8,16.3,31.1,
,,,Jose Panganiban,,,,,,,32.9,,37.3,,23.5,,9.9,7.9,13.4,,27.5,38.2,32.5,42.2,18.3,28.7,
,,,Labo,,,,,,,34.9,,36.5,,29.9,,6.5,5.8,11.0,,31.1,38.6,33.0,40.0,24.5,35.3,
,,,Mercedes,,,,,,,42.4,,43.4,,27.9,,8.8,7.0,11.4,,36.3,48.6,38.4,48.4,22.6,33.1,
,,,Paracale,,,,,,,36.2,,35.6,,24.0,,8.9,7.8,14.7,,30.9,41.5,31.0,40.1,18.2,29.8,
,,,San Vicente,,,,,,,35.3,,34.7,,21.6,,15.2,12.4,16.8,,26.5,44.2,27.6,41.8,15.6,27.6,
,,,Santa Elena,,,,,,,50.3,,43.1,,30.4,,10.3,8.7,14.3,,41.9,58.8,36.9,49.2,23.2,37.5,
,,,Talisay,,,,,,,32.1,,28.6,,17.9,,13.2,10.9,16.3,,25.1,39.0,23.5,33.7,13.1,22.7,
,,,Vinzons,,,,,,,42.9,,42.1,,32.2,,9.7,8.1,11.8,,36.1,49.8,36.4,47.7,26.0,38.5,
Camarines Sur,,,Baao,,,,,,,40.1,,37.4,,26.8,,8.7,,9.7,,34.4,45.9,31.8,42.9,22.6,31.1,
,,,Balatan,,,,,,,50.6,,50.0,,51.5,,10.1,8.1,5.9,,42.2,59.1,43.3,56.6,46.5,56.5,
,,,Bato,,,,,,,38.9,,40.1,,40.3,,9.8,7.1,6.3,,32.6,45.2,35.4,44.8,36.1,44.5,
,,,Bombon,,,,,,,35.4,,35.1,,27.2,,16.8,14.4,16.6,,25.6,45.1,26.8,43.4,19.7,34.6,
,,,Buhi,,,,,,,41.0,,44.0,,34.1,,7.1,6.2,6.1,,36.2,45.8,39.5,48.4,30.6,37.5,
,,,Bulaa,,,,,,,46.0,,46.0,,41.3,,7.7,6.9,5.3,,40.2,51.9,40.8,51.2,37.7,44.9,
,,,Cabusao,,,,,,,43.8,,46.1,,33.6,,13.0,12.0,10.4,,34.5,53.2,37.0,55.2,27.9,39.3,
,,,Calabanga,,,,,,,38.8,,42.7,,33.4,,7.3,6.1,6.0,,34.1,43.4,38.4,47.0,30.1,36.7,
,,,Camaligan,,,,,,,22.6,,29.4,,18.5,,19.2,13.5,16.4,,15.4,29.7,22.9,35.9,13.5,23.4,
,,,Canaman,,,,,,,27.3,,32.4,,24.2,,10.9,8.5,8.9,,22.4,32.2,27.9,37.0,20.7,27.8,
,,,Caramoan,,,,,,,51.7,,53.5,,46.2,,5.6,5.4,5.0,,47.0,56.5,48.7,58.3,42.5,50.0,
,,,Del Gallego,,,,,,,51.6,,52.4,,37.5,,8.2,6.6,7.0,,44.6,58.6,46.8,58.1,33.1,41.8,
,,,Gainza,,,,,,,41.3,,46.0,,33.8,,14.5,13.5,13.0,,31.4,51.1,35.7,56.2,26.6,41.0,
,,,Garchitorena,,,,,,,58.4,,59.0,,56.1,,8.7,5.4,5.3,,50.1,66.7,53.7,64.2,51.2,61.0,
,,,Goa,,,,,,,33.9,,41.2,,27.5,,10.1,6.8,8.3,,28.3,39.5,36.6,45.8,23.7,31.2,
,,,Iriga City,,,,,,,25.8,,31.5,,23.0,,10.4,7.8,8.0,,21.4,30.2,27.5,35.6,20.0,26.1,
,,,Lagonoy,,,,,,,37.8,,46.7,,37.6,,8.1,6.6,5.7,,32.8,42.9,41.6,51.8,34.0,41.1,
,,,Libmanan,,,,,,,51.1,,46.9,,38.0,,5.1,5.7,4.5,,46.8,55.4,42.5,51.3,35.2,40.8,
,,,Lupi,,,,,,,57.5,,49.9,,37.0,,6.4,6.7,6.2,,51.5,63.5,44.4,55.4,33.2,40.7,
,,,Magarao,,,,,,,32.7,,40.3,,27.8,,11.3,11.7,10.9,,26.6,38.8,32.5,48.0,22.8,32.8,
,,,Milaor,,,,,,,36.9,,36.6,,27.1,,9.6,8.9,9.1,,31.1,42.7,31.3,42.0,23.1,31.2,
,,,Minalabac,,,,,,,51.5,,48.4,,40.1,,7.7,7.4,7.8,,45.0,58.1,42.5,54.3,34.9,45.2,
,,,Nabua,,,,,,,31.9,,35.5,,29.5,,9.7,8.6,6.1,,26.8,37.1,30.5,40.5,26.5,32.4,
,,,Naga City,,,,,,,16.6,,24.4,,15.7,,15.3,9.8,11.7,,12.4,20.8,20.5,28.3,12.7,18.7,
,,,Ocampo,,,,,,,51.1,,43.8,,31.5,,7.1,7.1,9.0,,45.2,57.1,38.7,49.0,26.8,36.1,
,,,Pamplona,,,,,,,48.1,,46.7,,32.9,,9.2,8.1,9.4,,40.9,55.4,40.5,53.0,27.8,38.0,
,,,Pasacao,,,,,,,50.0,,48.7,,44.6,,9.6,9.6,6.9,,42.1,57.9,41.0,56.4,39.5,49.6,
,,,Pili,,,,,,,34.0,,33.1,,24.6,,9.8,7.4,7.9,,28.5,39.5,29.0,37.1,21.4,27.8,
,,,Presentacion,,,,,,,52.8,,50.2,,48.8,,10.6,9.1,8.0,,43.5,62.0,42.7,57.7,42.4,55.2,
,,,Ragay,,,,,,,47.6,,46.4,,37.4,,7.2,6.6,5.7,,41.9,53.2,41.3,51.5,33.9,40.9,
,,,Sagnay,,,,,,,48.3,,51.8,,37.3,,8.2,7.0,6.4,,41.8,54.8,45.8,57.7,33.3,41.2,
,,,San Fernando,,,,,,,40.0,,41.6,,34.9,,9.3,7.6,8.5,,33.9,46.1,36.4,46.7,30.1,39.8,
,,,San Jose,,,,,,,35.2,,39.1,,29.2,,9.4,8.1,8.0,,29.8,40.7,33.9,44.3,25.3,33.0,
,,,Sipocot,,,,,,,44.0,,43.8,,33.6,,5.9,6.2,6.0,,39.7,48.3,39.4,48.3,30.3,37.0,
,,,Siruma,,,,,,,56.3,,58.1,,58.1,,7.8,6.8,6.0,,49.0,63.6,51.6,64.6,52.4,63.8,
,,,Tigaon,,,,,,,39.3,,41.9,,27.9,,10.0,6.9,9.6,,32.8,45.8,37.1,46.6,23.5,32.3,
,,,Tinambac,,,,,,,51.3,,53.2,,47.4,,6.4,6.3,5.2,,45.9,56.7,47.7,58.7,43.4,51.4,
Catanduanes,,,Bagamanoc,,,,,,,38.8,,38.0,,37.4,,10.2,10.4,7.1,,32.3,45.3,31.5,44.5,33.0,41.8,
,,,Baras,,,,,,,48.2,,39.0,,32.0,,9.1,7.0,7.7,,41.0,55.3,34.5,43.5,27.9,36.0,
,,,Bato,,,,,,,33.1,,30.9,,23.5,,11.3,8.6,9.3,,27.0,39.3,26.5,35.3,19.9,27.2,
,,,Caramoran,,,,,,,48.4,,49.7,,40.8,,7.9,7.8,6.8,,42.1,54.8,43.3,56.0,36.2,45.3,
,,,Gigmoto,,,,,,,44.2,,41.5,,32.8,,11.5,10.0,11.6,,35.8,52.6,34.6,48.3,26.5,39.1,
,,,Pandan,,,,,,,45.9,,45.0,,43.7,,7.9,7.1,6.4,,39.9,51.8,39.7,50.2,39.1,48.3,
,,,Panganiban,,,,,,,38.8,,35.0,,31.4,,9.1,11.3,9.4,,33.0,44.7,28.5,41.5,26.5,36.3,
,,,San Andres,,,,,,,39.2,,36.6,,29.9,,8.8,7.1,7.0,,33.5,44.9,32.4,40.9,26.5,33.4,
,,,San Miguel,,,,,,,52.2,,36.5,,32.1,,8.4,7.9,9.1,,45.0,59.4,31.7,41.2,27.3,36.9,
,,,Viga,,,,,,,40.3,,41.2,,39.4,,8.1,6.7,6.3,,34.9,45.6,36.6,45.7,35.3,43.5,
,,,Virac,,,,,,,19.9,,22.7,,16.6,,11.1,6.4,8.3,,16.2,23.5,20.3,25.1,14.3,18.8,
Masbate,,,Aroroy,,,,,,,49.0,,45.5,,43.3,,6.6,7.0,5.6,,43.6,54.3,40.3,50.8,39.2,47.3,
,,,Baleno,,,,,,,41.2,,39.7,,43.2,,10.1,8.7,6.5,,34.3,48.0,34.0,45.4,38.6,47.9,
,,,Balud,,,,,,,55.1,,43.1,,46.7,,7.1,8.7,6.7,,48.6,61.5,36.9,49.2,41.5,51.8,
,,,Batuan,,,,,,,34.5,,37.0,,46.1,,12.2,11.4,8.2,,27.6,41.5,30.1,44.0,39.9,52.3,
,,,Cataingan,,,,,,,52.5,,41.5,,40.9,,7.1,6.6,6.8,,46.4,58.6,36.9,46.0,36.3,45.4,
,,,Cawayan,,,,,,,50.9,,47.6,,49.3,,6.8,6.7,5.3,,45.1,56.6,42.3,52.9,44.9,53.6,
,,,Claveria,,,,,,,47.9,,46.7,,52.4,,7.2,8.8,5.9,,42.3,53.6,39.9,53.4,47.3,57.5,
,,,Dimasalang,,,,,,,46.0,,41.3,,49.2,,9.0,7.9,6.6,,39.2,52.7,35.9,46.7,43.8,54.5,
,,,Esperanza,,,,,,,49.9,,45.5,,44.2,,8.2,7.6,7.4,,43.2,56.6,39.8,51.2,38.8,49.7,
,,,Mandaon,,,,,,,52.3,,41.1,,44.7,,7.7,8.1,5.9,,45.7,58.9,35.6,46.5,40.3,49.0,
,,,Masbate City,,,,,,,29.1,,28.9,,22.2,,10.5,8.0,9.5,,24.1,34.1,25.1,32.7,18.7,25.7,
,,,Milagros,,,,,,,52.1,,45.3,,49.6,,6.5,7.0,5.3,,46.5,57.6,40.1,50.5,45.3,53.9,
,,,Mobo,,,,,,,45.8,,37.4,,43.5,,7.9,8.0,5.1,,39.9,51.8,32.5,42.4,39.9,47.1,
,,,Monreal,,,,,,,54.9,,44.7,,57.9,,9.0,9.4,7.3,,46.8,63.1,37.8,51.6,51.0,64.8,
,,,Palanas,,,,,,,53.0,,40.4,,45.0,,7.8,8.0,6.5,,46.2,59.8,35.1,45.7,40.1,49.8,
,,,Pio V. Corpuz,,,,,,,40.5,,43.8,,40.7,,11.5,8.6,7.8,,32.8,48.1,37.7,50.0,35.5,46.0,
,,,Placer,,,,,,,59.0,,47.0,,47.7,,6.5,6.8,5.9,,52.6,65.3,41.7,52.2,43.0,52.3,
,,,San Fernando,,,,,,,34.6,,38.1,,40.5,,9.7,7.9,7.0,,29.0,40.1,33.2,43.1,35.9,45.2,
,,,San Jacinto,,,,,,,39.6,,39.1,,38.8,,10.4,9.5,7.6,,32.8,46.4,33.0,45.2,33.9,43.6,
,,,San Pascual,,,,,,,61.7,,52.7,,52.8,,7.1,6.5,6.3,,54.5,68.9,47.0,58.3,47.3,58.3,
,,,Uson,,,,,,,54.5,,42.9,,50.9,,7.4,6.8,5.9,,47.8,61.1,38.1,47.8,46.0,55.8,
Sorsogon,,,Barcelona,,,,,,,37.2,,39.1,,29.4,,8.8,7.9,7.8,,31.8,42.6,34.0,44.1,25.6,33.1,
,,,Bulan,,,,,,,40.7,,38.8,,32.7,,6.2,6.6,5.3,,36.5,44.8,34.6,43.1,29.8,35.5,
,,,Bulusan,,,,,,,35.3,,32.9,,30.8,,10.2,8.0,7.4,,29.3,41.2,28.6,37.2,27.0,34.6,
,,,Casiguran,,,,,,,41.8,,38.9,,28.7,,7.6,7.9,8.3,,36.6,47.0,33.9,44.0,24.8,32.6,
,,,Castilla,,,,,,,52.9,,44.4,,42.2,,7.4,6.8,6.5,,46.4,59.3,39.4,49.4,37.7,46.7,
,,,Donsol,,,,,,,54.6,,47.3,,44.1,,5.6,6.6,5.6,,49.5,59.6,42.2,52.4,40.1,48.2,
,,,Gubat,,,,,,,31.7,,33.6,,25.6,,7.9,7.2,7.5,,27.6,35.8,29.6,37.6,22.4,28.8,
,,,Irosin,,,,,,,33.4,,34.2,,28.5,,10.2,7.9,8.2,,27.8,38.9,29.7,38.6,24.6,32.3,
,,,Juban,,,,,,,44.1,,41.6,,37.3,,8.8,8.0,6.8,,37.7,50.5,36.1,47.0,33.1,41.5,
,,,Magallanes,,,,,,,53.4,,44.6,,44.1,,6.6,7.8,5.7,,47.6,59.2,38.8,50.3,40.0,48.2,
,,,Matnog,,,,,,,46.7,,43.2,,45.2,,6.1,6.6,5.5,,42.0,51.4,38.5,47.8,41.1,49.3,
,,,Pilar,,,,,,,54.8,,44.3,,42.5,,5.8,5.5,4.9,,49.5,60.0,40.3,48.3,39.1,45.9,
,,,Prieto Diaz,,,,,,,40.1,,36.7,,30.7,,9.1,8.5,8.4,,34.1,46.2,31.6,41.8,26.5,34.9,
,,,Santa Magdalena,,,,,,,32.4,,35.8,,35.5,,12.8,10.6,10.5,,25.6,39.1,29.6,42.0,29.4,41.7,
,,,Sorsogon City,,,,,,,23.6,,27.6,,19.5,,13.6,8.3,7.8,,18.3,28.9,23.8,31.3,17.0,22.0,
Region VI,,,,,,,,,,,,,,,,,,,,,,,,,,
Aklan,,,Altavas,,,,,,,34.3,,48.9,,19.2,,10.8,9.4,17.4,,28.3,40.4,41.3,56.4,13.7,24.7,
,,,Balete,,,,,,,45.1,,52.7,,25.6,,12.3,9.5,18.7,,36.0,54.2,44.5,60.9,17.7,33.5,
,,,Banga,,,,,,,23.4,,39.6,,11.3,,11.2,7.4,17.6,,19.1,27.6,34.8,44.4,8.0,14.6,
,,,Batan,,,,,,,27.7,,45.7,,23.3,,14.7,9.2,15.8,,21.0,34.4,38.8,52.6,17.2,29.3,
,,,Buruanga,,,,,,,33.8,,47.0,,18.5,,13.0,9.5,17.9,,26.6,41.0,39.7,54.4,13.1,24.0,
,,,Ibajay,,,,,,,36.3,,39.6,,20.0,,8.0,8.7,12.6,,31.6,41.1,33.9,45.2,15.9,24.1,
,,,Kalibo,,,,,,,7.8,,24.9,,5.8,,21.1,13.2,31.2,,5.1,10.5,19.5,30.3,2.8,8.8,
,,,Lezo,,,,,,,16.0,,39.1,,8.4,,16.3,10.6,24.9,,11.7,20.2,32.3,45.9,5.0,11.8,
,,,Libacao,,,,,,,43.3,,62.3,,26.0,,11.2,6.9,11.6,,35.3,51.2,55.2,69.4,21.0,31.0,
,,,Madalag,,,,,,,51.2,,63.3,,33.2,,8.4,6.6,11.2,,44.1,58.2,56.5,70.2,27.0,39.3,
,,,Makato,,,,,,,25.6,,48.9,,18.9,,10.4,7.8,15.4,,21.3,30.0,42.7,55.2,14.1,23.7,
,,,Malay,,,,,,,27.6,,24.8,,12.1,,17.3,19.0,27.5,,19.7,35.5,17.0,32.5,6.6,17.6,
,,,Malinao,,,,,,,37.0,,43.3,,19.6,,9.6,9.2,14.1,,31.2,42.8,36.7,49.8,15.1,24.2,
,,,Nabas,,,,,,,36.6,,36.9,,25.4,,9.3,9.5,13.2,,31.0,42.2,31.1,42.6,19.9,30.9,
,,,New Washington,,,,,,,28.3,,42.0,,14.7,,11.7,10.1,17.1,,22.9,33.7,35.1,49.0,10.5,18.8,
,,,Numancia,,,,,,,11.0,,24.4,,9.1,,20.3,11.7,24.2,,7.3,14.7,19.7,29.0,5.5,12.7,
,,,Tangalan,,,,,,,43.6,,42.5,,21.6,,10.6,11.2,16.2,,36.0,51.2,34.7,50.3,15.9,27.4,
Antique,,,Anini-Y,,,,,,,37.9,,45.4,,18.5,,10.4,8.9,16.0,,31.4,44.4,38.8,52.1,13.6,23.3,
,,,Barbaza,,,,,,,28.5,,46.3,,23.4,,10.6,7.7,12.5,,23.5,33.5,40.4,52.1,18.6,28.2,
